시도,시군구,합계,음주운전,음주운전,음주운전,음주운전,음주운전,음주운전,음주운전,음주운전,음주운전
시도,시군구,합계,합계,0.05%~0.09%,0.10%~0.14%,0.15%~0.19%,0.20%~0.24%,0.25%~0.29%,0.30%~0.34%,0.35%이상,측정불응
강원,홍천군,28,28,8,7,8,5,0,0,0,0
강원,횡성군,20,20,2,7,9,2,0,0,0,0
강원,영월군,16,16,5,5,3,2,0,0,1,0
강원,평창군,19,19,5,4,3,4,3,0,0,0
강원,정선군,16,16,3,7,3,1,2,0,0,0
강원,철원군,21,21,5,8,5,1,0,0,0,2
강원,화천군,12,12,1,3,5,2,0,1,0,0
강원,양구군,5,5,2,3,0,0,0,0,0,0
강원,인제군,13,13,1,6,3,2,1,0,0,0
강원,고성군,11,11,2,7,1,1,0,0,0,0
강원,양양군,13,13,3,7,0,2,1,0,0,0
충북,청주시,446,446,104,181,105,44,10,0,0,2
충북,충주시,113,113,30,42,26,9,3,0,0,3
충북,제천시,72,72,13,26,20,8,3,0,1,1
충북,보은군,8,8,3,2,2,0,0,1,0,0
충북,옥천군,22,22,4,8,8,1,0,0,0,1
충북,영동군,12,12,2,5,3,2,0,0,0,0
충북,진천군,53,53,11,19,18,5,0,0,0,0
충북,괴산군,15,15,4,6,2,3,0,0,0,0
충북,음성군,74,74,21,26,14,10,0,0,0,3
충북,단양군,8,8,2,4,2,0,0,0,0,0
충북,증평군,28,28,8,14,4,2,0,0,0,0
충남,천안시,344,344,71,134,92,32,8,1,1,5
충남,아산시,200,200,57,66,55,15,4,0,0,3
충남,보령시,75,75,19,29,15,9,2,0,0,1
충남,공주시,55,55,17,15,15,5,0,0,1,2
충남,서산시,103,103,31,38,19,13,2,0,0,0
충남,금산군,25,25,6,7,10,1,1,0,0,0
충남,태안군,35,35,12,8,7,6,2,0,0,0
충남,논산시,66,66,21,20,13,9,2,0,0,1
충남,부여군,19,19,7,6,3,1,0,2,0,0
충남,서천군,31,31,8,15,6,2,0,0,0,0
충남,청양군,21,21,5,7,5,3,0,1,0,0
충남,홍성군,44,44,17,14,8,3,0,1,1,0
충남,예산군,55,55,16,20,15,2,2,0,0,0
충남,당진시,118,118,28,38,37,10,4,0,0,1
충남,계룡시,12,12,5,2,4,1,0,0,0,0
전북,전주시,314,314,79,123,72,31,5,0,1,3
전북,군산시,102,102,24,41,23,12,1,1,0,0
전북,정읍시,55,55,14,18,11,8,4,0,0,0
전북,남원시,22,22,5,9,4,4,0,0,0,0
전북,김제시,36,36,7,13,8,7,1,0,0,0
전북,완주군,42,42,17,13,6,5,1,0,0,0
전북,진안군,12,12,3,3,4,0,2,0,0,0
전북,무주군,9,9,4,1,3,0,0,0,0,1
전북,장수군,5,5,1,3,0,0,0,0,1,0
전북,임실군,4,4,2,1,0,0,0,0,1,0
전북,순창군,7,7,3,3,1,0,0,0,0,0
전북,고창군,24,24,10,6,3,3,1,0,0,1
전북,부안군,40,40,12,15,9,3,0,0,0,1
